user_id,signup_date,device_type,acquisition_channel,region,is_kyc_completed,referral_source,signup_month,days_since_signup,device_web_flag
33,25-06-2025,Web,Social,West,FALSE,Unknown,2025-06,17,1
34,05-09-2024,Android,Organic,West,TRUE,Unknown,2024-09,310,0
35,13-12-2024,Android,Organic,South,TRUE,Unknown,2024-12,211,0
36,26-05-2024,Android,Referral,West,TRUE,PromoCode,2024-05,412,0
37,14-07-2024,iOS,Organic,North,TRUE,Unknown,2024-07,363,0
38,23-03-2025,Android,Organic,North,FALSE,Unknown,2025-03,111,0
39,05-01-2025,iOS,Organic,South,FALSE,Unknown,2025-01,188,0
40,29-01-2024,iOS,Organic,South,FALSE,Unknown,2024-01,530,0
41,23-02-2025,Android,Organic,North,TRUE,Unknown,2025-02,139,0
42,06-05-2024,iOS,Organic,South,TRUE,Unknown,2024-05,432,0
43,21-08-2024,Android,Social,West,FALSE,Unknown,2024-08,325,0
44,09-02-2024,iOS,Organic,East,FALSE,Unknown,2024-02,519,0
45,01-06-2025,Android,Referral,East,TRUE,Friend,2025-06,41,0
46,19-01-2025,Android,Referral,East,TRUE,Friend,2025-01,174,0
47,17-01-2024,Web,Paid,North,TRUE,Unknown,2024-01,542,1
48,13-07-2024,iOS,Organic,South,TRUE,Unknown,2024-07,364,0
49,26-11-2024,iOS,Organic,East,TRUE,Unknown,2024-11,228,0
50,11-05-2024,Android,Referral,West,TRUE,Friend,2024-05,427,0
51,31-01-2024,iOS,Referral,West,TRUE,Influencer,2024-01,528,0
52,20-06-2025,Android,Referral,West,FALSE,PromoCode,2025-06,22,0
53,09-09-2024,iOS,Organic,South,TRUE,Unknown,2024-09,306,0
54,05-06-2024,Android,Social,East,TRUE,Unknown,2024-06,402,0
55,15-03-2024,Web,Organic,West,FALSE,Unknown,2024-03,484,1
56,01-06-2024,Web,Organic,South,FALSE,Unknown,2024-06,406,1
57,22-01-2024,iOS,Paid,West,TRUE,Unknown,2024-01,537,0
58,12-03-2025,Android,Organic,East,TRUE,Unknown,2025-03,122,0
59,30-05-2025,Android,Paid,East,TRUE,Unknown,2025-05,43,0
60,07-11-2024,iOS,Referral,East,FALSE,PromoCode,2024-11,247,0
61,23-09-2024,Android,Social,East,TRUE,Unknown,2024-09,292,0
62,12-06-2024,iOS,Social,East,FALSE,Unknown,2024-06,395,0
63,08-08-2024,Android,Paid,West,TRUE,Unknown,2024-08,338,0
64,27-08-2024,Android,Referral,East,TRUE,PromoCode,2024-08,319,0
65,15-09-2024,Web,Organic,West,TRUE,Unknown,2024-09,300,1
66,04-01-2024,iOS,Paid,East,TRUE,Unknown,2024-01,555,0
67,11-02-2024,Android,Organic,West,TRUE,Unknown,2024-02,517,0
68,17-04-2025,Android,Organic,East,TRUE,Unknown,2025-04,86,0
69,09-04-2024,Android,Organic,West,TRUE,Unknown,2024-04,459,0
70,12-08-2024,iOS,Paid,East,FALSE,Unknown,2024-08,334,0
71,27-07-2024,Android,Paid,South,TRUE,Unknown,2024-07,350,0
72,25-08-2024,Web,Social,West,TRUE,Unknown,2024-08,321,1
73,25-07-2024,iOS,Organic,South,TRUE,Unknown,2024-07,352,0
74,27-02-2025,Android,Social,West,FALSE,Unknown,2025-02,135,0
75,30-05-2025,iOS,Referral,West,TRUE,Friend,2025-05,43,0
76,29-01-2025,Android,Paid,West,FALSE,Unknown,2025-01,164,0
77,25-02-2025,Android,Referral,North,FALSE,PromoCode,2025-02,137,0
78,15-09-2024,Web,Organic,East,TRUE,Unknown,2024-09,300,1
79,04-02-2025,Android,Social,South,TRUE,Unknown,2025-02,158,0
80,08-02-2024,Android,Paid,South,FALSE,Unknown,2024-02,520,0
81,11-10-2024,Android,Social,West,TRUE,Unknown,2024-10,274,0
82,23-02-2025,Android,Referral,South,FALSE,Influencer,2025-02,139,0
83,31-01-2024,Android,Social,South,TRUE,Unknown,2024-01,528,0
84,04-03-2025,iOS,Referral,South,TRUE,PromoCode,2025-03,130,0
85,30-05-2025,iOS,Organic,South,TRUE,Unknown,2025-05,43,0
86,15-01-2024,iOS,Organic,North,TRUE,Unknown,2024-01,544,0
87,21-09-2024,Android,Paid,West,FALSE,Unknown,2024-09,294,0
88,24-03-2025,Android,Paid,South,FALSE,Unknown,2025-03,110,0
89,01-01-2024,Android,Organic,North,TRUE,Unknown,2024-01,558,0
90,04-05-2024,Android,Social,North,FALSE,Unknown,2024-05,434,0
91,16-03-2024,Android,Paid,West,TRUE,Unknown,2024-03,483,0
92,25-11-2024,Android,Social,East,TRUE,Unknown,2024-11,229,0
93,30-07-2024,Android,Social,East,FALSE,Unknown,2024-07,347,0
94,01-10-2024,Android,Paid,East,TRUE,Unknown,2024-10,284,0
95,27-05-2024,Web,Social,South,FALSE,Unknown,2024-05,411,1
96,04-07-2024,Web,Paid,West,FALSE,Unknown,2024-07,373,1
97,12-02-2025,iOS,Social,East,TRUE,Unknown,2025-02,150,0
98,24-05-2025,Web,Organic,South,TRUE,Unknown,2025-05,49,1
99,19-03-2025,iOS,Organic,West,TRUE,Unknown,2025-03,115,0
100,07-10-2024,Android,Paid,South,FALSE,Unknown,2024-10,278,0
101,08-08-2024,Android,Paid,East,TRUE,Unknown,2024-08,338,0
102,03-06-2025,iOS,Paid,East,FALSE,Unknown,2025-06,39,0
103,18-11-2024,iOS,Paid,North,FALSE,Unknown,2024-11,236,0
104,08-03-2025,iOS,Organic,North,TRUE,Unknown,2025-03,126,0
105,04-07-2024,iOS,Social,West,TRUE,Unknown,2024-07,373,0
106,08-11-2024,Android,Paid,South,FALSE,Unknown,2024-11,246,0
107,17-05-2024,iOS,Paid,South,TRUE,Unknown,2024-05,421,0
108,23-03-2024,Web,Referral,East,TRUE,Influencer,2024-03,476,1
109,22-02-2024,Android,Referral,East,FALSE,PromoCode,2024-02,506,0
110,25-04-2025,iOS,Social,West,FALSE,Unknown,2025-04,78,0
111,23-06-2025,Android,Paid,North,TRUE,Unknown,2025-06,19,0
112,28-03-2025,iOS,Organic,East,TRUE,Unknown,2025-03,106,0
113,21-06-2024,iOS,Paid,South,FALSE,Unknown,2024-06,386,0
114,29-01-2025,Android,Paid,East,FALSE,Unknown,2025-01,164,0
115,23-05-2025,iOS,Social,North,FALSE,Unknown,2025-05,50,0
116,27-05-2024,Android,Organic,South,TRUE,Unknown,2024-05,411,0
117,18-05-2025,iOS,Social,North,TRUE,Unknown,2025-05,55,0
118,13-09-2024,Android,Paid,West,TRUE,Unknown,2024-09,302,0
119,20-06-2025,iOS,Social,West,TRUE,Unknown,2025-06,22,0
120,28-05-2024,Android,Organic,North,FALSE,Unknown,2024-05,410,0
121,21-03-2024,iOS,Social,South,FALSE,Unknown,2024-03,478,0
122,22-09-2024,Android,Social,North,FALSE,Unknown,2024-09,293,0
123,28-10-2024,iOS,Social,East,TRUE,Unknown,2024-10,257,0
124,13-04-2025,Web,Organic,East,TRUE,Unknown,2025-04,90,1
125,01-04-2025,Web,Organic,North,FALSE,Unknown,2025-04,102,1
126,19-12-2024,iOS,Referral,East,TRUE,PromoCode,2024-12,205,0
127,09-01-2025,iOS,Organic,North,TRUE,Unknown,2025-01,184,0
128,08-10-2024,Android,Organic,East,TRUE,Unknown,2024-10,277,0
129,16-03-2024,Android,Organic,North,FALSE,Unknown,2024-03,483,0
130,01-05-2025,Android,Paid,East,FALSE,Unknown,2025-05,72,0
131,01-04-2024,iOS,Paid,South,FALSE,Unknown,2024-04,467,0
132,09-01-2024,Web,Organic,South,TRUE,Unknown,2024-01,550,1
133,12-09-2024,Android,Organic,East,TRUE,Unknown,2024-09,303,0
134,25-11-2024,Web,Paid,North,TRUE,Unknown,2024-11,229,1
135,02-04-2024,iOS,Paid,East,TRUE,Unknown,2024-04,466,0
136,08-02-2024,iOS,Organic,West,TRUE,Unknown,2024-02,520,0
137,02-03-2025,Android,Organic,West,FALSE,Unknown,2025-03,132,0
138,02-02-2025,Android,Social,North,FALSE,Unknown,2025-02,160,0
139,06-03-2024,Android,Social,East,TRUE,Unknown,2024-03,493,0
140,14-06-2025,iOS,Social,East,FALSE,Unknown,2025-06,28,0
141,24-07-2024,Android,Social,South,TRUE,Unknown,2024-07,353,0
142,03-03-2025,Android,Organic,North,TRUE,Unknown,2025-03,131,0
143,02-10-2024,iOS,Referral,West,TRUE,PromoCode,2024-10,283,0
144,14-05-2025,iOS,Paid,West,FALSE,Unknown,2025-05,59,0
145,23-09-2024,Web,Referral,North,FALSE,Influencer,2024-09,292,1
146,11-09-2024,Android,Organic,West,FALSE,Unknown,2024-09,304,0
147,26-02-2025,Android,Referral,North,TRUE,PromoCode,2025-02,136,0
148,28-12-2024,iOS,Paid,West,FALSE,Unknown,2024-12,196,0
149,04-09-2024,Android,Organic,West,FALSE,Unknown,2024-09,311,0
150,28-09-2024,Android,Referral,North,FALSE,Influencer,2024-09,287,0
151,23-01-2025,Android,Organic,North,TRUE,Unknown,2025-01,170,0
152,21-02-2025,Android,Organic,West,TRUE,Unknown,2025-02,141,0
153,18-06-2024,Android,Organic,West,TRUE,Unknown,2024-06,389,0
154,03-12-2024,Android,Organic,South,TRUE,Unknown,2024-12,221,0
155,25-05-2025,Android,Organic,East,TRUE,Unknown,2025-05,48,0
156,06-04-2024,Android,Social,North,FALSE,Unknown,2024-04,462,0
157,15-02-2025,iOS,Paid,North,FALSE,Unknown,2025-02,147,0
158,06-02-2025,Android,Paid,East,TRUE,Unknown,2025-02,156,0
159,09-06-2025,iOS,Organic,South,TRUE,Unknown,2025-06,33,0
160,28-09-2024,Android,Referral,West,FALSE,PromoCode,2024-09,287,0
161,30-09-2024,Android,Referral,West,FALSE,PromoCode,2024-09,285,0
162,29-01-2024,iOS,Referral,South,TRUE,Friend,2024-01,530,0
163,03-02-2024,Android,Referral,South,FALSE,PromoCode,2024-02,525,0
164,19-11-2024,Android,Social,East,TRUE,Unknown,2024-11,235,0
165,01-04-2025,Android,Social,East,FALSE,Unknown,2025-04,102,0
166,17-12-2024,Web,Referral,West,FALSE,PromoCode,2024-12,207,1
167,17-09-2024,Android,Organic,South,FALSE,Unknown,2024-09,298,0
168,26-01-2024,Android,Referral,South,TRUE,Influencer,2024-01,533,0
169,01-10-2024,iOS,Paid,West,TRUE,Unknown,2024-10,284,0
170,14-03-2025,Android,Referral,West,FALSE,Friend,2025-03,120,0
171,08-03-2024,Android,Social,West,TRUE,Unknown,2024-03,491,0
172,28-01-2025,Android,Referral,West,FALSE,Influencer,2025-01,165,0
173,11-12-2024,iOS,Social,West,FALSE,Unknown,2024-12,213,0
174,21-02-2025,Android,Organic,East,TRUE,Unknown,2025-02,141,0
175,18-06-2025,Android,Organic,West,FALSE,Unknown,2025-06,24,0
176,21-05-2024,Android,Organic,South,TRUE,Unknown,2024-05,417,0
177,23-01-2024,iOS,Social,North,TRUE,Unknown,2024-01,536,0
178,15-06-2024,Android,Social,East,TRUE,Unknown,2024-06,392,0
179,02-09-2024,Web,Referral,South,TRUE,PromoCode,2024-09,313,1
180,05-06-2025,Android,Referral,North,TRUE,Friend,2025-06,37,0
181,07-07-2024,Web,Referral,East,FALSE,PromoCode,2024-07,370,1
182,16-04-2025,Web,Social,West,TRUE,Unknown,2025-04,87,1
183,29-04-2025,Android,Social,East,FALSE,Unknown,2025-04,74,0
184,25-09-2024,Android,Referral,West,TRUE,Influencer,2024-09,290,0
185,16-06-2025,Android,Referral,West,FALSE,Influencer,2025-06,26,0
186,01-01-2024,Android,Organic,West,TRUE,Unknown,2024-01,558,0
187,06-06-2024,iOS,Referral,North,TRUE,Friend,2024-06,401,0
188,30-07-2024,Android,Paid,East,TRUE,Unknown,2024-07,347,0
189,28-04-2024,Android,Organic,West,TRUE,Unknown,2024-04,440,0
190,30-05-2024,Android,Social,South,TRUE,Unknown,2024-05,408,0
191,13-07-2024,Web,Paid,East,FALSE,Unknown,2024-07,364,1
192,08-04-2025,Android,Social,South,TRUE,Unknown,2025-04,95,0
193,29-03-2024,Android,Organic,North,FALSE,Unknown,2024-03,470,0
194,13-03-2025,Android,Paid,North,FALSE,Unknown,2025-03,121,0
195,30-03-2025,Web,Paid,East,TRUE,Unknown,2025-03,104,1
196,18-07-2024,iOS,Organic,North,TRUE,Unknown,2024-07,359,0
197,05-01-2025,Android,Paid,North,TRUE,Unknown,2025-01,188,0
198,27-06-2024,Android,Organic,East,TRUE,Unknown,2024-06,380,0
199,07-10-2024,Android,Organic,South,TRUE,Unknown,2024-10,278,0
200,27-02-2024,Android,Organic,West,FALSE,Unknown,2024-02,501,0
201,10-01-2024,Web,Organic,East,TRUE,Unknown,2024-01,549,1
202,25-01-2025,iOS,Referral,East,TRUE,Friend,2025-01,168,0
203,13-05-2024,Android,Organic,West,TRUE,Unknown,2024-05,425,0
204,25-08-2024,iOS,Referral,South,FALSE,Influencer,2024-08,321,0
205,16-08-2024,Android,Referral,West,FALSE,PromoCode,2024-08,330,0
206,30-03-2024,iOS,Paid,West,TRUE,Unknown,2024-03,469,0
207,06-03-2024,iOS,Social,South,FALSE,Unknown,2024-03,493,0
208,10-04-2024,Android,Referral,South,TRUE,Influencer,2024-04,458,0
209,09-04-2025,iOS,Referral,West,FALSE,PromoCode,2025-04,94,0
210,14-09-2024,Android,Organic,West,TRUE,Unknown,2024-09,301,0
211,14-03-2025,Android,Referral,East,TRUE,PromoCode,2025-03,120,0
212,31-07-2024,Android,Social,South,FALSE,Unknown,2024-07,346,0
213,09-09-2024,Android,Organic,North,TRUE,Unknown,2024-09,306,0
214,26-05-2025,iOS,Organic,South,FALSE,Unknown,2025-05,47,0
215,04-03-2024,Web,Organic,West,FALSE,Unknown,2024-03,495,1
216,26-10-2024,iOS,Referral,West,FALSE,PromoCode,2024-10,259,0
217,16-01-2025,iOS,Paid,West,TRUE,Unknown,2025-01,177,0
218,13-01-2024,iOS,Referral,West,FALSE,Friend,2024-01,546,0
219,15-05-2024,Android,Organic,North,TRUE,Unknown,2024-05,423,0
220,25-05-2025,Android,Social,South,TRUE,Unknown,2025-05,48,0
221,11-06-2024,Android,Organic,North,TRUE,Unknown,2024-06,396,0
222,21-01-2025,iOS,Organic,North,TRUE,Unknown,2025-01,172,0
223,15-04-2025,Web,Paid,West,TRUE,Unknown,2025-04,88,1
224,07-11-2024,Android,Organic,North,FALSE,Unknown,2024-11,247,0
225,21-02-2025,iOS,Organic,West,TRUE,Unknown,2025-02,141,0
226,18-03-2024,iOS,Organic,West,FALSE,Unknown,2024-03,481,0
227,29-12-2024,Android,Paid,West,TRUE,Unknown,2024-12,195,0
228,28-02-2025,Android,Social,North,TRUE,Unknown,2025-02,134,0
229,11-02-2025,Android,Social,West,FALSE,Unknown,2025-02,151,0
230,12-08-2024,Android,Paid,North,TRUE,Unknown,2024-08,334,0
231,14-07-2024,Android,Organic,South,TRUE,Unknown,2024-07,363,0
232,14-03-2024,Android,Paid,West,FALSE,Unknown,2024-03,485,0
233,22-12-2024,Android,Referral,East,TRUE,PromoCode,2024-12,202,0
234,16-05-2025,Android,Organic,East,FALSE,Unknown,2025-05,57,0
235,15-02-2025,iOS,Organic,East,TRUE,Unknown,2025-02,147,0
236,11-02-2025,Android,Organic,East,TRUE,Unknown,2025-02,151,0
237,17-02-2025,iOS,Referral,East,TRUE,Influencer,2025-02,145,0
238,18-04-2025,Android,Organic,North,TRUE,Unknown,2025-04,85,0
239,09-10-2024,Android,Social,South,TRUE,Unknown,2024-10,276,0
240,15-03-2024,Web,Organic,North,TRUE,Unknown,2024-03,484,1
241,17-02-2024,Android,Organic,West,TRUE,Unknown,2024-02,511,0
242,02-02-2025,Android,Paid,South,TRUE,Unknown,2025-02,160,0
243,20-01-2025,iOS,Paid,South,TRUE,Unknown,2025-01,173,0
244,01-09-2024,Android,Organic,South,TRUE,Unknown,2024-09,314,0
245,14-08-2024,Android,Organic,South,TRUE,Unknown,2024-08,332,0
246,30-04-2024,Android,Organic,East,TRUE,Unknown,2024-04,438,0
247,03-05-2024,Android,Organic,West,TRUE,Unknown,2024-05,435,0
248,30-05-2024,Android,Organic,South,FALSE,Unknown,2024-05,408,0
249,19-06-2024,Android,Social,South,TRUE,Unknown,2024-06,388,0
250,11-12-2024,iOS,Paid,East,TRUE,Unknown,2024-12,213,0
251,15-04-2024,iOS,Referral,North,TRUE,Friend,2024-04,453,0
252,21-04-2025,iOS,Organic,North,FALSE,Unknown,2025-04,82,0
253,08-07-2024,iOS,Organic,North,TRUE,Unknown,2024-07,369,0
254,11-02-2024,iOS,Organic,West,FALSE,Unknown,2024-02,517,0
255,22-07-2024,Android,Paid,North,FALSE,Unknown,2024-07,355,0
256,22-10-2024,iOS,Paid,South,TRUE,Unknown,2024-10,263,0
257,20-05-2024,iOS,Organic,East,TRUE,Unknown,2024-05,418,0
258,21-05-2025,iOS,Referral,East,FALSE,PromoCode,2025-05,52,0
259,26-04-2024,Android,Paid,North,TRUE,Unknown,2024-04,442,0
260,15-02-2025,Android,Organic,East,FALSE,Unknown,2025-02,147,0
261,29-01-2025,Android,Organic,South,FALSE,Unknown,2025-01,164,0
262,02-05-2025,iOS,Paid,North,FALSE,Unknown,2025-05,71,0
263,04-07-2024,Android,Referral,South,TRUE,Influencer,2024-07,373,0
264,02-06-2024,iOS,Organic,West,FALSE,Unknown,2024-06,405,0
265,22-08-2024,Android,Organic,South,FALSE,Unknown,2024-08,324,0
266,17-02-2025,Android,Paid,South,TRUE,Unknown,2025-02,145,0
267,20-02-2024,Android,Organic,South,TRUE,Unknown,2024-02,508,0
268,22-06-2025,Android,Referral,South,TRUE,Friend,2025-06,20,0
269,06-01-2025,Android,Referral,West,TRUE,Friend,2025-01,187,0
270,23-11-2024,Android,Organic,North,TRUE,Unknown,2024-11,231,0
271,01-05-2025,Web,Organic,South,FALSE,Unknown,2025-05,72,1
272,14-01-2025,Android,Referral,North,TRUE,Influencer,2025-01,179,0
273,06-02-2025,Android,Organic,East,TRUE,Unknown,2025-02,156,0
274,01-03-2024,iOS,Organic,South,FALSE,Unknown,2024-03,498,0
275,26-06-2025,iOS,Referral,South,FALSE,Friend,2025-06,16,0
276,28-09-2024,iOS,Organic,East,TRUE,Unknown,2024-09,287,0
277,24-12-2024,Android,Paid,North,FALSE,Unknown,2024-12,200,0
278,24-05-2024,iOS,Organic,West,TRUE,Unknown,2024-05,414,0
279,18-11-2024,iOS,Referral,South,TRUE,PromoCode,2024-11,236,0
280,10-03-2024,Android,Organic,East,FALSE,Unknown,2024-03,489,0
281,22-12-2024,Android,Social,East,FALSE,Unknown,2024-12,202,0
282,26-10-2024,Android,Referral,South,TRUE,PromoCode,2024-10,259,0
283,24-09-2024,Android,Organic,North,FALSE,Unknown,2024-09,291,0
284,22-07-2024,iOS,Paid,North,TRUE,Unknown,2024-07,355,0
285,29-01-2025,Android,Organic,South,TRUE,Unknown,2025-01,164,0
286,07-05-2024,Web,Paid,East,TRUE,Unknown,2024-05,431,1
287,02-04-2025,Android,Social,South,TRUE,Unknown,2025-04,101,0
288,18-01-2025,Android,Paid,West,FALSE,Unknown,2025-01,175,0
289,10-05-2024,Android,Organic,West,FALSE,Unknown,2024-05,428,0
290,26-12-2024,Android,Referral,North,TRUE,Influencer,2024-12,198,0
291,01-09-2024,iOS,Organic,West,TRUE,Unknown,2024-09,314,0
292,08-09-2024,iOS,Referral,East,FALSE,Influencer,2024-09,307,0
293,12-05-2024,Android,Referral,West,TRUE,Friend,2024-05,426,0
294,14-08-2024,Android,Organic,South,FALSE,Unknown,2024-08,332,0
295,25-02-2025,Android,Organic,East,TRUE,Unknown,2025-02,137,0
296,02-04-2024,iOS,Referral,North,TRUE,Friend,2024-04,466,0
297,02-03-2024,Android,Referral,North,FALSE,Friend,2024-03,497,0
298,06-08-2024,Android,Organic,West,FALSE,Unknown,2024-08,340,0
299,27-06-2025,iOS,Organic,North,FALSE,Unknown,2025-06,15,0
300,16-05-2025,Web,Paid,South,TRUE,Unknown,2025-05,57,1
301,01-10-2024,Android,Organic,East,TRUE,Unknown,2024-10,284,0
302,20-07-2024,Android,Organic,South,FALSE,Unknown,2024-07,357,0
303,26-03-2025,iOS,Organic,South,TRUE,Unknown,2025-03,108,0
304,01-05-2024,iOS,Organic,South,TRUE,Unknown,2024-05,437,0
305,22-05-2024,Android,Paid,South,TRUE,Unknown,2024-05,416,0
306,18-04-2025,Web,Social,East,FALSE,Unknown,2025-04,85,1
307,11-12-2024,iOS,Referral,East,FALSE,Friend,2024-12,213,0
308,18-12-2024,Android,Organic,South,TRUE,Unknown,2024-12,206,0
309,23-03-2025,Android,Paid,South,TRUE,Unknown,2025-03,111,0
310,01-05-2025,Android,Paid,North,TRUE,Unknown,2025-05,72,0
311,29-09-2024,iOS,Organic,North,TRUE,Unknown,2024-09,286,0
312,18-04-2024,Android,Social,East,TRUE,Unknown,2024-04,450,0
313,08-03-2024,iOS,Paid,North,FALSE,Unknown,2024-03,491,0
314,15-10-2024,iOS,Social,East,TRUE,Unknown,2024-10,270,0
315,14-03-2025,Android,Paid,East,TRUE,Unknown,2025-03,120,0
316,18-02-2025,iOS,Referral,West,FALSE,PromoCode,2025-02,144,0
317,23-01-2024,Web,Organic,East,FALSE,Unknown,2024-01,536,1
318,22-04-2025,Android,Paid,North,TRUE,Unknown,2025-04,81,0
319,30-07-2024,Android,Organic,West,TRUE,Unknown,2024-07,347,0
320,19-05-2025,Android,Social,North,FALSE,Unknown,2025-05,54,0
321,02-05-2024,iOS,Referral,East,FALSE,Friend,2024-05,436,0
322,27-04-2024,Web,Social,East,TRUE,Unknown,2024-04,441,1
323,11-03-2024,Android,Referral,South,TRUE,Influencer,2024-03,488,0
324,01-11-2024,iOS,Social,East,FALSE,Unknown,2024-11,253,0
325,10-11-2024,Android,Organic,West,TRUE,Unknown,2024-11,244,0
326,11-05-2024,Android,Paid,East,FALSE,Unknown,2024-05,427,0
327,10-08-2024,Android,Referral,South,FALSE,Influencer,2024-08,336,0
328,08-02-2025,Android,Referral,East,FALSE,Friend,2025-02,154,0
329,26-08-2024,Android,Referral,East,FALSE,Influencer,2024-08,320,0
330,19-01-2025,Android,Organic,East,FALSE,Unknown,2025-01,174,0
331,03-07-2024,Android,Organic,South,TRUE,Unknown,2024-07,374,0
332,17-04-2025,Web,Social,North,FALSE,Unknown,2025-04,86,1
333,08-03-2025,Android,Paid,East,FALSE,Unknown,2025-03,126,0
334,25-05-2024,Android,Organic,West,FALSE,Unknown,2024-05,413,0
335,28-08-2024,Android,Referral,South,TRUE,Friend,2024-08,318,0
336,17-09-2024,iOS,Social,West,TRUE,Unknown,2024-09,298,0
337,20-05-2025,Android,Organic,East,FALSE,Unknown,2025-05,53,0
338,27-05-2024,Android,Social,South,TRUE,Unknown,2024-05,411,0
339,29-02-2024,Web,Social,East,FALSE,Unknown,2024-02,499,1
340,09-02-2024,Android,Social,West,TRUE,Unknown,2024-02,519,0
341,04-03-2025,Android,Social,South,FALSE,Unknown,2025-03,130,0
342,26-02-2025,iOS,Paid,North,TRUE,Unknown,2025-02,136,0
343,20-06-2025,Android,Organic,North,TRUE,Unknown,2025-06,22,0
344,16-11-2024,Android,Organic,North,TRUE,Unknown,2024-11,238,0
345,10-05-2024,Android,Organic,East,FALSE,Unknown,2024-05,428,0
346,09-11-2024,Android,Paid,South,FALSE,Unknown,2024-11,245,0
347,19-10-2024,Android,Organic,West,TRUE,Unknown,2024-10,266,0
348,01-05-2025,Android,Organic,West,TRUE,Unknown,2025-05,72,0
349,05-06-2025,Android,Organic,East,FALSE,Unknown,2025-06,37,0
350,05-04-2025,Android,Organic,East,TRUE,Unknown,2025-04,98,0
351,14-03-2025,iOS,Social,West,TRUE,Unknown,2025-03,120,0
352,16-05-2025,Android,Organic,South,FALSE,Unknown,2025-05,57,0
353,18-06-2024,Android,Paid,East,FALSE,Unknown,2024-06,389,0
354,02-01-2025,iOS,Paid,South,TRUE,Unknown,2025-01,191,0
355,21-05-2024,iOS,Organic,West,FALSE,Unknown,2024-05,417,0
356,07-08-2024,Android,Social,South,TRUE,Unknown,2024-08,339,0
357,14-02-2024,Web,Paid,North,TRUE,Unknown,2024-02,514,1
358,08-05-2025,Android,Organic,West,FALSE,Unknown,2025-05,65,0
359,21-07-2024,Android,Organic,North,TRUE,Unknown,2024-07,356,0
360,24-01-2024,iOS,Organic,West,FALSE,Unknown,2024-01,535,0
361,28-02-2025,Android,Organic,North,FALSE,Unknown,2025-02,134,0
362,08-02-2025,Android,Organic,South,FALSE,Unknown,2025-02,154,0
363,10-01-2025,Android,Paid,West,TRUE,Unknown,2025-01,183,0
364,28-01-2025,Android,Social,West,TRUE,Unknown,2025-01,165,0
365,19-06-2024,Android,Referral,North,FALSE,Friend,2024-06,388,0
366,15-10-2024,Web,Organic,South,FALSE,Unknown,2024-10,270,1
367,06-10-2024,Android,Organic,West,TRUE,Unknown,2024-10,279,0
368,09-10-2024,iOS,Paid,East,FALSE,Unknown,2024-10,276,0
369,25-07-2024,Android,Organic,North,FALSE,Unknown,2024-07,352,0
370,14-05-2024,iOS,Organic,West,FALSE,Unknown,2024-05,424,0
371,27-04-2024,iOS,Social,South,TRUE,Unknown,2024-04,441,0
372,14-05-2025,iOS,Organic,South,FALSE,Unknown,2025-05,59,0
373,13-11-2024,Android,Social,South,TRUE,Unknown,2024-11,241,0
374,01-09-2024,Android,Organic,South,TRUE,Unknown,2024-09,314,0
